Survey Year,School,Classification,TotalUndergrads,FootballRevenue,TotalSportsRevenue
2006,Drake University,NCAA Division I-AA,3013,200030,11407671
2006,Central Connecticut State University,NCAA Division I-AA,7463,218089,8663684
2006,Georgetown University,NCAA Division I-AA,6358,235676,27358934
2006,Tennessee Technological University,NCAA Division I-AA,7569,261379,7542889
2006,Elon University,NCAA Division I-AA,4849,290421,11444438
2006,California State University-Sacramento,NCAA Division I-AA,17945,347998,12590676
2006,Iona College,NCAA Division I-AA,3451,356212,8105459
2006,Mississippi Valley State University,NCAA Division I-AA,2407,364340,3667629
2006,La Salle University,NCAA Division I-AA,3254,369685,11066946
2006,Saint Peters College,NCAA Division I-AA,1802,387488,5362043
2006,University of Dayton,NCAA Division I-AA,6925,428350,16799536
2006,Butler University,NCAA Division I-AA,3872,438737,10235838
2006,Valparaiso University,NCAA Division I-AA,2813,457019,9128162
2006,Duquesne University,NCAA Division I-AA,5312,480727,9420599
2006,Alcorn State University,NCAA Division I-AA,2676,483696,3172350
2006,Marist College,NCAA Division I-AA,4245,515682,7749264
2006,Jacksonville University,NCAA Division I-AA,1980,578393,8294491
2006,Towson University,NCAA Division I-AA,13539,607227,14864900
2006,Davidson College,NCAA Division I-AA,1678,625994,8626786
2006,Morehead State University,NCAA Division I-AA,7544,637887,5098836
2006,Texas State University-San Marcos,NCAA Division I-AA,18472,639253,13300055
2006,Eastern Kentucky University,NCAA Division I-AA,10904,645545,10398984
2006,Nicholls State University,NCAA Division I-AA,5001,666415,5093307
2006,California Polytechnic State University-San Luis Obispo,NCAA Division I-AA,16813,668786,12044805
2006,Savannah State University,NCAA Division I-AA,2719,678521,2411294
2006,Georgia Southern University,NCAA Division I-AA,14483,702346,6519930
2006,Southern Utah University,NCAA Division I-AA,7020,745656,5662027
2006,Sam Houston State University,NCAA Division I-AA,11845,796776,7602358
2006,Indiana State University,NCAA Division I-AA,7288,817869,8765414
2006,Robert Morris University,NCAA Division I-AA,3332,825718,9158032
2006,Austin Peay State University,NCAA Division I-AA,6348,898371,5541527
2006,SUNY at Albany,NCAA Division I-AA,12082,926067,11780010
2006,Sacred Heart University,NCAA Division I-AA,3406,938944,14524769
2006,Stony Brook University,NCAA Division I-AA,14850,959651,20862949
2006,Villanova University,NCAA Division I-AA,6344,960789,22004416
2006,Southern Illinois University Carbondale,NCAA Division I-AA,14166,1042942,17545188
2006,Saint Francis University,NCAA Division I-AA,1376,1064476,7513394
2006,Prairie View A & M University,NCAA Division I-AA,3929,1098522,3941072
2006,New Mexico State University-Main Campus,NCAA Division I-A,10176,1118277,19434062
2006,Monmouth University,NCAA Division I-AA,4175,1193778,9593567
2006,Southeast Missouri State University,NCAA Division I-AA,6659,1197717,7678972
2006,Western Carolina University,NCAA Division I-AA,7146,1213861,7650502
2006,Illinois State University,NCAA Division I-AA,17842,1253105,12382213
2006,Northwestern State University of Louisiana,NCAA Division I-AA,5385,1321614,7235050
2006,University of Arkansas at Pine Bluff,NCAA Division I-AA,3231,1324781,5282874
2006,University of Akron Main Campus,NCAA Division I-A,11824,1331447,17792195
2006,Virginia Military Institute,NCAA Division I-A,1369,1396473,8826577
2006,Portland State University,NCAA Division I-AA,16587,1406209,8789998
2006,North Carolina A & T State University,NCAA Division I-AA,8367,1411162,7840945
2006,University of San Diego,NCAA Division I-AA,4962,1422421,18808127
2006,University of North Texas,NCAA Division I-A,30182,1433107,16787101
2006,Southeastern Louisiana University,NCAA Division I-AA,11284,1436245,6862403
2006,Utah State University,NCAA Division I-A,10671,1442827,12822145
2006,University of Northern Colorado,NCAA Division I-AA,10782,1459941,7424484
2006,Delaware State University,NCAA Division I-AA,2934,1488299,17289496
2006,Texas Southern University,NCAA Division I-AA,7739,1529629,5698801
2006,Weber State University,NCAA Division I-AA,10146,1567947,6103505
2006,University of Toledo-Main Campus,NCAA Division I-A,14315,1601476,16980819
2006,Ball State University,NCAA Division I-A,16958,1626206,15538250
2006,Wagner College,NCAA Division I-AA,1892,1639920,9575905
2006,Eastern Illinois University,NCAA Division I-AA,9292,1659327,10004744
2006,Jackson State University,NCAA Division I-AA,8256,1679686,6183042
2006,Dartmouth College,NCAA Division I-AA,4301,1740636,14576951
2006,Cornell University,NCAA Division I-AA,13562,1749636,17469198
2006,Morgan State University,NCAA Division I-AA,6705,1791582,7166041
2006,The University of Tennessee-Martin,NCAA Division I-AA,5088,1834669,6716078
2006,Western Michigan University,NCAA Division I-A,18749,1841527,18737921
2006,Alabama A & M University,NCAA Division I-AA,4622,1866286,5221982
2006,Western Illinois University,NCAA Division I-AA,9998,1866779,7847113
2006,Alabama State University,NCAA Division I-AA,3939,1878193,5666512
2006,Youngstown State University,NCAA Division I-AA,8660,1894131,9814254
2006,Eastern Washington University,NCAA Division I-AA,8174,1918246,8550337
2006,University of Central Arkansas,NCAA Division I-AA,9460,1949327,6671074
2006,Charleston Southern University,NCAA Division I-AA,2207,1966996,6616647
2006,Grambling State University,NCAA Division I-AA,4584,1967456,5814453
2006,Florida Agricultural and Mechanical University,NCAA Division I-AA,11910,1986476,8232769
2006,University of Pennsylvania,NCAA Division I-AA,10095,2017225,26622328
2006,Norfolk State University,NCAA Division I-AA,4459,2051625,7613928
2006,University of Northern Iowa,NCAA Division I-AA,9888,2084851,13526042
2006,Idaho State University,NCAA Division I-AA,7732,2090742,9245361
2006,Murray State University,NCAA Division I-AA,7738,2097087,10915304
2006,Wofford College,NCAA Division I-AA,1176,2146276,10368030
2006,University of New Hampshire-Main Campus,NCAA Division I-AA,10914,2152404,22082841
2006,Stephen F Austin State University,NCAA Division I-AA,10158,2165715,8818586
2006,Northern Arizona University,NCAA Division I-AA,11484,2197643,10376566
2006,North Dakota State University-Main Campus,NCAA Division I-AA,10596,2319938,10054245
2006,Harvard University,NCAA Division I-AA,6715,2353380,17172306
2006,Howard University,NCAA Division I-AA,7517,2370030,8177156
2006,Brown University,NCAA Division I-AA,5798,2373343,14114575
2006,Florida Atlantic University,NCAA Division I-A,13354,2402510,14116774
2006,Missouri State University,NCAA Division I-AA,12758,2404590,13142418
2006,Jacksonville State University,NCAA Division I-AA,5819,2557217,9459969
2006,Yale University,NCAA Division I-AA,5275,2565054,17527062
2006,The University of Tennessee at Chattanooga,NCAA Division I-AA,6168,2580009,9591383
2006,Northeastern University,NCAA Division I-AA,14730,2633949,17379049
2006,South Carolina State University,NCAA Division I-AA,3888,2665437,7438162
2006,Princeton University,NCAA Division I-AA,4790,2748660,17305843
2006,Gardner-Webb University,NCAA Division I-AA,2140,2750888,11455096
2006,Kent State University-Kent Campus,NCAA Division I-A,18090,2757760,17487695
2006,University of Nevada-Las Vegas,NCAA Division I-A,15823,2768426,25166518
2006,Bucknell University,NCAA Division I-AA,3633,2775674,14880625
2006,Western Kentucky University,NCAA Division I-AA,16067,2796724,17208710
2006,College of William and Mary,NCAA Division I-AA,5734,2838761,14745304
2006,Lehigh University,NCAA Division I-AA,4698,2850778,20106038
2006,Southern University and A & M College,NCAA Division I-AA,6606,2875879,7928889
2006,Columbia University in the City of New York,NCAA Division I-AA,8016,2929218,16314044
2006,University of Maine,NCAA Division I-AA,7552,2970988,14620565
2006,College of the Holy Cross,NCAA Division I-AA,2790,3024345,16642837
2006,University of Louisiana at Lafayette,NCAA Division I-A,14931,3043713,10107711
2006,Hampton University,NCAA Division I-AA,4913,3060773,9017396
2006,Samford University,NCAA Division I-AA,2862,3135011,9988250
2006,Louisiana Tech University,NCAA Division I-A,7078,3152397,12440515
2006,University of Rhode Island,NCAA Division I-AA,11875,3181154,17918083
2006,Lafayette College,NCAA Division I-AA,2343,3219666,10834991
2006,University of New Mexico-Main Campus,NCAA Division I-A,14752,3265057,26187718
2006,Coastal Carolina University,NCAA Division I-AA,5718,3340465,15276286
2006,Northern Illinois University,NCAA Division I-A,16942,3361600,16866401
2006,Bethune Cookman College,NCAA Division I-AA,3093,3445443,8604560
2006,Citadel Military College of South Carolina,NCAA Division I-AA,2111,3504452,10171817
2006,Arkansas State University-Main Campus,NCAA Division I-A,7220,3576338,10086859
2006,University of Louisiana at Monroe,NCAA Division I-A,5911,3593026,9122207
2006,Colgate University,NCAA Division I-AA,2753,3713376,18640951
2006,Tennessee State University,NCAA Division I-AA,7112,3786817,8758809
2006,University of Massachusetts-Amherst,NCAA Division I-AA,18629,3802745,21447401
2006,James Madison University,NCAA Division I-AA,16970,3817914,24652704
2006,Troy University,NCAA Division I-A,20069,3879598,13089969
2006,Montana State University-Bozeman,NCAA Division I-AA,9097,3944164,12881474
2006,University of Richmond,NCAA Division I-AA,3663,3997417,15485701
2006,Hofstra University,NCAA Division I-AA,7756,4070854,18664112
2006,Colorado State University,NCAA Division I-A,20500,4106247,19777870
2006,Fordham University,NCAA Division I-AA,5200,4136962,18308251
2006,Furman University,NCAA Division I-AA,2642,4142057,14824567
2006,Bowling Green State University-Main Campus,NCAA Division I-A,16085,4261871,23524181
2006,University of Central Florida,NCAA Division I-A,29907,4293022,29639288
2006,San Jose State University,NCAA Division I-A,22733,4308283,16970448
2006,Ohio University-Main Campus,NCAA Division I-A,16562,4445964,18671109
2006,University of Nevada-Reno,NCAA Division I-A,12404,4446166,19878194
2006,Central Michigan University,NCAA Division I-A,18331,4465376,20434178
2006,San Diego State University,NCAA Division I-A,23229,4508597,31106320
2006,SUNY at Buffalo,NCAA Division I-A,17517,4551896,19724701
2006,Appalachian State University,NCAA Division I-AA,12442,4554223,9616056
2006,Eastern Michigan University,NCAA Division I-A,12405,4653129,19580253
2006,Miami University-Oxford,NCAA Division I-A,14385,4819872,22252089
2006,University of Idaho,NCAA Division I-A,7927,4885021,12730220
2006,University of Tulsa,NCAA Division I-A,2712,5015376,24276929
2006,Liberty University,NCAA Division I-AA,8408,5109943,17546026
2006,University of Delaware,NCAA Division I-AA,15211,5531893,24855072
2006,Middle Tennessee State University,NCAA Division I-A,17257,5838119,17348681
2006,University of Alabama at Birmingham,NCAA Division I-A,10753,6348331,21600512
2006,University of Memphis,NCAA Division I-A,15984,6457912,29335795
2006,Florida International University,NCAA Division I-A,30049,6466113,17936027
2006,University of Wyoming,NCAA Division I-A,7436,6598307,21031881
2006,Marshall University,NCAA Division I-A,7837,6604877,18965635
2006,East Carolina University,NCAA Division I-A,15832,6712382,25080006
2006,Tulane University of Louisiana,NCAA Division I-A,5218,6871440,19168000
2006,University of Houston,NCAA Division I-A,19552,6925282,28188613
2006,University of Southern Mississippi,NCAA Division I-A,14422,7221086,16022899
2006,The University of Montana,NCAA Division I-AA,9716,7466499,16449636
2006,University of Hawaii at Manoa,NCAA Division I-A,11473,7533652,26506426
2006,California State University-Fresno,NCAA Division I-A,15178,7902336,25153897
2006,The University of Texas at El Paso,NCAA Division I-A,16561,8157860,20831731
2006,University of Cincinnati-Main Campus,NCAA Division I-A,16350,8162664,34172785
2006,Southern Methodist University,NCAA Division I-A,6489,8678120,27708145
2006,Temple University,NCAA Division I-A,21383,8717771,25836567
2006,Duke University,NCAA Division I-A,6244,8966170,47507169
2006,Baylor University,NCAA Division I-A,11434,9270595,40475819
2006,University of South Florida,NCAA Division I-A,24214,9289982,28160631
2006,Rice University,NCAA Division I-A,2995,9553283,26031598
2006,Brigham Young University,NCAA Division I-A,27465,10142975,32100899
2006,Washington State University,NCAA Division I-A,14051,10466370,31928453
2006,Iowa State University,NCAA Division I-A,19048,10807280,36876628
2006,University of Utah,NCAA Division I-A,15022,11184198,25913332
2006,University of Kansas Main Campus,NCAA Division I-A,18576,11258985,65194721
2006,University of Connecticut,NCAA Division I-A,15196,11976959,52811643
2006,Mississippi State University,NCAA Division I-A,11697,12074969,25842032
2006,Wake Forest University,NCAA Division I-A,4332,12114647,36827089
2006,Boise State University,NCAA Division I-A,10811,12123981,22314219
2006,Stanford University,NCAA Division I-A,6689,12927407,65480187
2006,Texas Christian University,NCAA Division I-A,7267,13257717,39191874
2006,University of Virginia-Main Campus,NCAA Division I-A,13151,14213380,64852417
2006,Syracuse University,NCAA Division I-A,12144,14866061,43732382
2006,Vanderbilt University,NCAA Division I-A,6378,15219537,39021876
2006,University of Missouri-Columbia,NCAA Division I-A,19933,15284731,48634512
2006,Northwestern University,NCAA Division I-A,7976,15513675,40757282
2006,Rutgers University-New Brunswick/Piscataway,NCAA Division I-A,24477,15643682,44050960
2006,Indiana University-Bloomington,NCAA Division I-A,29549,17033871,44739096
2006,University of Minnesota-Twin Cities,NCAA Division I-A,28516,17390376,64828596
2006,Boston College,NCAA Division I-A,9019,17452269,57392077
2006,Florida State University,NCAA Division I-A,31058,17457519,42165416
2006,University of Arizona,NCAA Division I-A,28442,17489510,45320053
2006,University of Pittsburgh-Main Campus,NCAA Division I-A,15361,17545348,37465582
2006,University of Mississippi Main Campus,NCAA Division I-A,12682,17581209,33576473
2006,North Carolina State University at Raleigh,NCAA Division I-A,21062,18109836,42634590
2006,University of North Carolina at Chapel Hill,NCAA Division I-A,16840,18147854,58188501
2006,University of Louisville,NCAA Division I-A,15103,19023605,54589997
2006,Oklahoma State University-Main Campus,NCAA Division I-A,18737,20412787,46667284
2006,University of Illinois at Urbana-Champaign,NCAA Division I-A,30575,20764472,56804174
2006,University of Miami,NCAA Division I-A,9674,20769443,49219738
2006,Texas Tech University,NCAA Division I-A,22839,20827440,53561872
2006,University of Oregon,NCAA Division I-A,14949,21495626,50489771
2006,Kansas State University,NCAA Division I-A,16510,21730191,48346511
2006,University of Kentucky,NCAA Division I-A,17425,21898082,60556515
2006,University of Colorado at Boulder,NCAA Division I-A,24484,23101126,42354657
2006,Arizona State University at the Tempe Campus,NCAA Division I-A,32722,23519742,53473276
2006,University of California-Los Angeles,NCAA Division I-A,25432,23539593,61309668
2006,Purdue University-Main Campus,NCAA Division I-A,29688,25134139,56293562
2006,West Virginia University,NCAA Division I-A,20590,25174217,46970708
2006,Georgia Institute of Technology-Main Campus,NCAA Division I-A,11842,25331130,49581182
2006,University of California-Berkeley,NCAA Division I-A,23863,26001075,60538725
2006,University of Nebraska at Lincoln,NCAA Division I-A,15768,26264849,71121812
2006,Oregon State University,NCAA Division I-A,13599,28299199,45409990
2006,The University of Tennessee,NCAA Division I-A,18739,31193706,95401868
2006,University of Southern California,NCAA Division I-A,16729,31705207,76383688
2006,Clemson University,NCAA Division I-A,14172,32029237,55741548
2006,University of Washington-Seattle Campus,NCAA Division I-A,27836,33694962,59648451
2006,University of Wisconsin-Madison,NCAA Division I-A,27219,34105991,82579472
2006,Texas A & M University,NCAA Division I-A,36580,37123296,69413648
2006,University of Oklahoma Norman Campus,NCAA Division I-A,16404,37263255,69430569
2006,Virginia Polytechnic Institute and State University,NCAA Division I-A,21473,40634499,65487381
2006,Michigan State University,NCAA Division I-A,32588,40795755,73171907
2006,University of South Carolina-Columbia,NCAA Division I-A,16729,41275362,60544530
2006,University of Arkansas Main Campus,NCAA Division I-A,12488,42056467,63337303
2006,Pennsylvania State University-Main Campus,NCAA Division I-A,36612,44014052,76327504
2006,University of Iowa,NCAA Division I-A,20300,45335026,80203645
2006,Louisiana State University and Agricultural & Mechanical College,NCAA Division I-A,25709,48141751,76499511
2006,University of Michigan-Ann Arbor,NCAA Division I-A,24631,50982629,89079982
2006,The University of Alabama,NCAA Division I-A,17784,53182806,81946464
2006,Auburn University Main Campus,NCAA Division I-A,18896,56830516,81696758
2006,University of Florida,NCAA Division I-A,31742,58904976,107781004
2006,Ohio State University-Main Campus,NCAA Division I-A,34982,59142071,109382222
2006,University of Georgia,NCAA Division I-A,25437,59516939,75937460
2006,University of Notre Dame,NCAA Division I-A,8338,63675034,83586903
2006,The University of Texas at Austin,NCAA Division I-A,33063,63798068,105048632
